id,propertyType,title,locationId,price,size,hasParking,roomNumber,bathNumber,hasSwimmingPool,hasTerrace,hasGarden,hasLift,isGoodCondition,isNeedsRenovating,isNewDevelopment,featureTags,heatingType,interiorExterior,floor,area_name
98255270,piso,piso en venta en avenida del general perón,0-EU-ES-28-07-001-079-06,995000,179.0,0,4,5,0,0,0,1,1,0,0,['Lujo'],Calefacción individual: Gas natural,exterior,planta 1ª,Tetuán
94343260,piso,piso en venta en palomeras bajas,0-EU-ES-28-07-001-079-13,99000,56.0,0,3,1,0,0,0,0,1,0,0,[],no info,no info,no info,Puente de Vallecas
98119783,piso,piso en venta en sol,0-EU-ES-28-07-001-079-01,425000,31.0,0,2,1,0,0,0,1,1,0,0,[],no info,exterior,planta 5ª,Centro
97132927,piso,"piso en venta en calle benarrabá, 3",0-EU-ES-28-07-001-079-13,136000,55.0,0,2,1,0,0,0,0,1,0,0,[],Calefacción individual: Eléctrica,exterior,planta 3ª,Puente de Vallecas
97611862,piso,"piso en venta en calle de la povedilla, 4",0-EU-ES-28-07-001-079-04,574300,94.0,0,4,1,0,0,0,1,1,0,0,[],Calefacción central,interior,planta 4ª,Barrio de Salamanca
97960353,piso,piso en venta en almagro,0-EU-ES-28-07-001-079-07,3850000,485.0,1,5,5,0,1,0,1,1,0,0,['Lujo'],Calefacción central,exterior,planta 5ª,Chamberí
98288913,piso,piso en venta en arcos,0-EU-ES-28-07-001-079-20,119000,52.0,0,3,1,0,0,0,0,1,0,0,[],No dispone de calefacción,exterior,no info,San Blas
97455112,chalet,chalet adosado en venta en calle lubian,0-EU-ES-28-07-001-079-17,194400,197.0,0,3,2,0,0,1,0,1,0,0,[],Calefacción individual: Gas natural,does not apply,does not apply,Villaverde
96748272,piso,"piso en venta en calle de mayorazgo de duarte, 21",0-EU-ES-28-07-001-079-19,329000,95.0,1,2,2,1,1,1,1,1,0,0,[],Calefacción central: Gas,exterior,bajo,Vicálvaro
98231784,piso,piso en venta en calle de monseñor oscar romero,0-EU-ES-28-07-001-079-11,170000,80.0,0,2,1,0,0,0,0,1,0,0,[],Calefacción individual: Gas natural,exterior,planta 1ª,Carabanchel
97429011,piso,piso en venta en calle de ayala,0-EU-ES-28-07-001-079-04,889000,95.0,0,3,3,0,1,0,1,1,0,0,['Lujo'],Calefacción central,exterior,planta 1ª,Barrio de Salamanca
98041467,piso,piso en venta en calle de cantalejo,0-EU-ES-28-07-001-079-08,799000,160.0,1,4,3,1,1,1,1,1,0,0,['Lujo'],Calefacción central: Gas,exterior,planta 4ª,Fuencarral
95825606,piso,"piso en venta en avenida del mediterráneo, 28",0-EU-ES-28-07-001-079-03,456900,88.0,0,2,2,0,0,0,1,1,0,0,[],no info,exterior,planta 6ª,Retiro
98283386,piso,piso en venta en calle de juan de urbieta,0-EU-ES-28-07-001-079-03,480000,136.0,0,4,2,0,0,0,1,1,0,0,[],no info,exterior,planta 2ª,Retiro
90720591,piso,piso en venta en calle de ríos rosas,0-EU-ES-28-07-001-079-07,270400,45.0,0,1,1,0,0,0,1,1,0,0,[],no info,exterior,bajo,Chamberí
98263692,piso,piso en venta en puerta bonita,0-EU-ES-28-07-001-079-11,185000,81.0,1,1,1,1,0,1,1,1,0,0,[],Calefacción individual: Gas natural,exterior,planta 2ª,Carabanchel
96132173,piso,"piso en venta en calle de los caídos de la división azul, 1",0-EU-ES-28-07-001-079-05,870000,204.0,1,3,3,1,0,1,1,1,0,0,['Lujo'],Calefacción central: Gas,exterior,planta 2ª,Chamartín
91126350,piso,piso en venta en huertas-cortes,0-EU-ES-28-07-001-079-01,785000,156.0,0,4,2,0,0,0,1,0,1,0,[],no info,exterior,planta 2ª,Centro
98333010,piso,piso en venta en bernabéu-hispanoamérica,0-EU-ES-28-07-001-079-05,760000,130.0,0,3,2,0,1,0,1,0,1,0,[],Calefacción central,exterior,planta 14ª,Chamartín
98429794,piso,ático en venta en recoletos,0-EU-ES-28-07-001-079-04,7900000,407.0,0,5,4,0,1,0,1,0,1,0,[],no info,exterior,planta 6ª,Barrio de Salamanca
95378270,piso,"piso en venta en calle embajadores, 312",0-EU-ES-28-07-001-079-02,455000,75.0,1,2,2,1,0,0,1,0,0,1,['Lujo'],no info,exterior,planta 4ª,Arganzuela
98413788,piso,"piso en venta en calle de ferraz, 69",0-EU-ES-28-07-001-079-09,890000,155.0,1,3,2,0,0,0,1,1,0,0,['Lujo'],Calefacción central: Gas,exterior,planta 3ª,Moncloa
98406395,piso,piso en venta en camino de la suerte,0-EU-ES-28-07-001-079-18,290000,113.0,0,4,2,0,1,0,1,1,0,0,[],Calefacción individual,exterior,planta 1ª,Villa de Vallecas
92279676,piso,piso en venta en calle sierra carbonera,0-EU-ES-28-07-001-079-13,197400,114.0,0,1,1,0,0,0,0,1,0,0,[],no info,no info,no info,Puente de Vallecas
98074273,piso,"piso en venta en glorieta de las pirámides, 5",0-EU-ES-28-07-001-079-02,189900,45.0,0,2,1,0,0,0,1,1,0,0,[],Calefacción individual: Gas natural,exterior,planta 3ª,Arganzuela
95876999,piso,"piso en venta en general díaz porlier, 24",0-EU-ES-28-07-001-079-04,315000,40.0,0,1,1,0,0,0,0,1,0,0,[],Calefacción individual: Eléctrica,interior,planta 3ª,Barrio de Salamanca
97591981,piso,"piso en venta en avenida de la albufera, 143",0-EU-ES-28-07-001-079-13,166198,63.0,0,3,1,0,0,0,0,1,0,0,[],No dispone de calefacción,exterior,planta 4ª,Puente de Vallecas
98293812,piso,piso en venta en san isidoro de sevilla,0-EU-ES-28-07-001-079-02,230000,60.0,0,2,1,0,0,0,0,1,0,0,[],Calefacción individual: Gas natural,interior,planta 3ª,Arganzuela
97369706,piso,"piso en venta en calle de fernando delgado, 8",0-EU-ES-28-07-001-079-11,409000,158.0,0,4,2,0,1,1,1,1,0,0,[],Calefacción central: Gasoil,exterior,planta 3ª,Carabanchel
98021807,piso,piso en venta en rejas,0-EU-ES-28-07-001-079-20,340000,109.0,1,2,2,1,0,1,1,1,0,0,[],Calefacción individual: Gas natural,exterior,planta 4ª,San Blas
96279125,chalet,chalet pareado en venta en aravaca,0-EU-ES-28-07-001-079-09,1199000,340.0,1,4,5,1,1,1,0,1,0,0,['Lujo'],no info,does not apply,does not apply,Moncloa
98197171,piso,"piso en venta en avenida de los madroños, 15",0-EU-ES-28-07-001-079-16,1399000,194.0,1,4,3,1,1,1,1,1,0,0,['Lujo'],Calefacción individual,exterior,planta 4ª,Hortaleza
97342314,piso,piso en venta en calle mica,0-EU-ES-28-07-001-079-17,159000,91.0,0,3,2,0,1,0,1,0,1,0,[],Calefacción individual: Gas natural,exterior,planta 3ª,Villaverde
